customerid,firstname,lastname,streetaddress,city,state,zipcode,email,phonenumber,firstpurchasedate,subscribedtoemaillist,gender
249188,Isaiah,Ross,6790 Los Coches Way,Orangevale,CA,95662,ross.i72@zoho.com,(916) 467-3491,2013-03-16,true,M
249779,Scott,Pruett,5766 Parklite Cir,Antelope,CA,95843,scottp@gmail.com,(916) 240-9266,2013-05-26,false,M
250266,Mildred,Shafer,2288 Piercy Way,Sacramento,CA,94291,smildred@icloud.com,(916) 992-8425,2013-02-21,false,F
253106,Candace,Moriarty,2737 Vallecitos Way,Sacramento,CA,95829,c_moriarty39@icloud.com,(916) 756-5791,2013-05-12,false,F
256181,William,Everson,1952 Husch Way,Sacramento,CA,95894,williame@icloud.com,(916) 341-5255,2012-09-13,false,M
262579,Mattie,Ryan,7930 Staggs Way,Elk Grove,CA,95624,rmattie@fastmail.com,(916) 453-4559,2013-05-28,true,F
262638,Brian,Henninger,9729 Koyama Ct,Sacramento,CA,95831,brianh@icloud.com,(916) 935-9159,2013-07-27,true,M
265133,Denise,Steele,2232 Boswell Ct,Sacramento,CA,94244,denise_s43@yahoo.com,(916) 793-4607,2012-09-27,true,F
265339,Jamie,Bottoms,8246 Singleton Ct,Sacramento,CA,94273,b_jamie@yahoo.com,(916) 665-4187,2013-04-21,true,F
265707,Marko,Cavka,6677 Southland Way,Sacramento,CA,95820,c.marko@icloud.com,(916) 309-6667,2012-12-20,true,M
266633,Etu,Molden,955 Munger Way,Sacramento,CA,94284,emolden2@aol.com,(916) 389-3432,2013-03-31,false,M
267632,Randy,Veres,7939 Ruge Ct,Sacramento,CA,95834,veres_r@outlook.com,(916) 264-3332,2013-06-06,true,M
269687,Scott,Smith,8867 Belle Fleur Way,Isleton,CA,95641,smiths@mail.com,(916) 150-2056,2012-07-02,true,M
270853,Helen,Oliver,1281 Poinsettia Ct,Sacramento,CA,95853,oliver_h@hotmail.com,(916) 988-5646,2013-07-20,false,F
271531,Mildred,Masters,9480 Irvin Way,Sacramento,CA,94294,m_masters@zoho.com,(916) 835-0525,2013-05-03,true,F
274541,Joanna,Benson,422 Adkinson Ct,Sacramento,CA,95826,joanna.b53@mail.com,(916) 315-8858,2012-07-31,true,F
275152,Anthony,Padilla,1968 Rosa Del Rio Way,Sacramento,CA,94249,a.padilla@fastmail.com,(916) 171-8841,2013-01-12,true,M
276549,John,Bowker,3500 Carsington Way,Sacramento,CA,94279,b.john@outlook.com,(916) 216-5687,2012-12-17,true,M
277310,Delores,Ramey,4055 Tenwoods Ct,Sacramento,CA,94263,ramey.d@yahoo.com,(916) 153-9551,2013-01-02,false,F
277373,Mike,Flanagan,5486 Gustine Way,Elk Grove,CA,95757,mikef10@zoho.com,(916) 699-6637,2012-10-24,true,M
278204,Ann,Spencer,338 Raymar Way,Sacramento,CA,95824,s_ann@aol.com,(916) 811-3094,2012-08-29,true,F
278809,Darrin,Nelson,5964 Pintado Ct,Sacramento,CA,94252,ndarrin44@yahoo.com,(916) 745-5644,2012-11-06,true,M
283158,Thelma,Armstead,9078 Shadowglen Rd,Sacramento,CA,94291,thelma.a63@outlook.com,(916) 532-0329,2013-03-14,true,F
286196,Matt,Bouza,2228 Shepard Ave,Elverta,CA,95626,m.bouza11@yahoo.com,(916) 909-4497,2012-08-31,false,M
289693,Scott,Galbraith,6725 Sher Ct,Sacramento,CA,94280,g.scott33@outlook.com,(916) 468-4474,2012-12-30,true,M
292402,Onterrio,Smith,3849 Frizell Ave,Sacramento,CA,94286,smitho@outlook.com,(916) 437-4755,2012-08-16,false,M
296208,Leticia,Delisle,2816 Hesket Way,Sacramento,CA,94261,delislel@mail.com,(916) 427-7357,2012-11-17,true,F
296353,Greg,Vaughn,6109 River Grove Cir,Citrus Heights,CA,95611,greg_v98@gmail.com,(916) 935-5283,2013-08-13,false,M
296886,Pam,Doane,2241 L St,Fair Oaks,CA,95628,doanep30@zoho.com,(916) 934-8098,2013-08-09,false,F
297686,Constance,Weaver,134 La Gama Ct,Sacramento,CA,95842,constance.w@zoho.com,(916) 150-2998,2013-06-13,false,F
298508,Emily,Jardine,6106 Tiogawoods Dr,Sacramento,CA,94278,jardine.e35@mail.com,(916) 708-0319,2013-07-25,false,F
301793,Eric,Heiden,778 Acero Ct,Sacramento,CA,95887,heidene80@aol.com,(916) 768-7209,2013-03-04,true,M
302774,Mike,Patterson,9198 Temwoods Way,Sacramento,CA,95817,m_patterson@mail.com,(916) 811-1219,2013-05-04,false,M
304344,Mark,Allen,9791 Turnbridge Dr,Sacramento,CA,94248,mark_a@icloud.com,(916) 466-7221,2013-01-18,true,M
305005,Spencer,Levin,3474 Breanna Ct,Sacramento,CA,95814,spencerl@zoho.com,(916) 207-5325,2013-03-23,false,M
306475,Kris,Ryan,6768 Oaken Bucket Ct,Sacramento,CA,94258,ryan_k@icloud.com,(916) 419-0740,2012-07-03,true,F
306853,Bob,Forsch,6497 Verna Way,Sacramento,CA,95816,forsch.b@icloud.com,(916) 641-7622,2013-06-22,true,M
308505,Andy,Fox,484 Dickson St,Sacramento,CA,95814,afox@mail.com,(916) 228-4232,2013-03-07,true,M
308662,Annette,Schmitt,8791 Flowerwood Way,Sacramento,CA,95830,s.annette@aol.com,(916) 681-4901,2012-12-08,true,F
308688,Tammy,Reynolds,5229 Middlesax Way,Sacramento,CA,94246,rtammy94@hotmail.com,(916) 715-1712,2013-08-19,true,F
310195,Lori,Breazeale,4672 Tungsten Way,Sacramento,CA,94230,b.lori95@mail.com,(916) 429-7344,2012-11-06,false,F
315634,Karen,Kijewski,5473 Pasadena Ave,Elk Grove,CA,95757,karen.k@aol.com,(916) 953-6433,2013-07-11,false,F
317461,Megan,Hsu,8265 Predial Way,Sacramento,CA,94239,hsu_m74@outlook.com,(916) 486-7788,2013-01-31,false,F
317807,Joel,Jones,3463 Durney Ct,Sacramento,CA,94289,j.jones13@mail.com,(916) 261-0393,2013-01-30,true,M
319387,Malachi,Davis,6230 Eversley Ct,Sacramento,CA,95818,davis.m@gmail.com,(916) 612-0054,2013-01-06,false,M
323830,Darnell,Hillman,5530 Reef Ct,Sacramento,CA,94244,d.hillman65@gmail.com,(916) 192-3990,2013-07-13,true,M
324435,Teddy,Bruschi,5355 Surf Way,Sacramento,CA,94209,b.teddy@aol.com,(916) 253-3841,2012-07-22,false,M
325263,Kathleen,Boehmer,607 Arrowood Ct,Rancho Cordova,CA,95741,boehmer_k@zoho.com,(916) 367-5930,2012-11-21,true,F
327750,Ethel,Atherton,9102 Peridot Ct,Sacramento,CA,94289,eatherton@icloud.com,(916) 850-0067,2013-09-18,false,F
329994,Thomas,Kelly,3823 Schiro Ct,Sacramento,CA,95817,k.thomas@outlook.com,(916) 555-7140,2012-10-22,false,M
330223,Mel,Hutchins,1046 Auburn Blvd,Sacramento,CA,94291,hutchins_m9@gmail.com,(916) 949-7374,2013-02-09,true,M
330570,Tyson,Griffin,5874 Priscilla Ln,Sacramento,CA,94261,tyson.g@fastmail.com,(916) 565-8216,2013-08-14,true,M
331115,Janet,Koons,5726 Jefferson Ave,North Highlands,CA,95660,j.koons@fastmail.com,(916) 490-7982,2012-07-24,true,F
332324,Sheila,Hudson,4685 Flowerwood Way,Sacramento,CA,94288,sheilah@mail.com,(916) 195-5498,2012-12-10,false,F
336644,Charlie,Zink,4011 Life Ave,Sacramento,CA,95867,charliez39@yahoo.com,(916) 361-7739,2012-09-12,false,M
343021,Brad,Lidge,7335 Loma Oak Ct,Herald,CA,95638,lidgeb@aol.com,(209) 262-5722,2013-01-14,true,M
344702,John,Gibson,2000 De Costa Ave,Rancho Cordova,CA,95742,gibsonj@mail.com,(916) 511-0651,2013-03-03,true,M
345348,Ada,Belle,7669 Gardenwood Way,Sacramento,CA,95835,b_ada13@outlook.com,(916) 100-2494,2013-06-07,false,F
345748,Vance,Worley,1297 Goethe Rd,Sacramento,CA,94209,w_vance@yahoo.com,(916) 987-3319,2013-08-10,true,M
346006,Kristi,Kirk,8664 Beret Ln,North Highlands,CA,95660,kristi_k@aol.com,(916) 379-7184,2013-03-21,false,F
347189,Blanche,Decker,9874 Accrington Way,Sacramento,CA,95838,decker_b@zoho.com,(916) 959-2997,2012-07-22,false,F
347659,Isabel,Kerr,3904 Faldo Ct,Sacramento,CA,95820,k_isabel@icloud.com,(916) 938-7595,2013-06-16,false,F
352644,Jimmy,Smith,9978 Glenleigh Ct,Sacramento,CA,94209,s.jimmy@yahoo.com,(916) 663-3995,2013-05-10,true,M
353846,Roberta,Otten,7033 Calmo Way,Sacramento,CA,94237,otten.r@hotmail.com,(916) 480-2476,2012-12-16,true,F
355107,Ephraim,Salaam,7309 Sea Glass Way,Sacramento,CA,94288,ephraims@mail.com,(916) 356-4090,2013-05-06,true,M
357579,Cynthia,Robinson,9816 Gold Point Way,Carmichael,CA,95609,r_cynthia66@icloud.com,(916) 165-5826,2012-11-26,true,F
358901,Michelle,Carpenter,6724 Gallop Ct,Sacramento,CA,94287,c_michelle@yahoo.com,(916) 194-6390,2013-01-14,false,F
363931,Ryan,Dinwiddie,1818 Coberly Ct,Sacramento,CA,94204,r_dinwiddie@gmail.com,(916) 267-3556,2012-07-08,true,M
366695,Audrey,Higginbotham,3540 Richfield Way,Carmichael,CA,95609,haudrey@icloud.com,(916) 400-0088,2013-02-19,false,F
370366,Dion,James,6548 Maybrook Dr,Sacramento,CA,94236,james.d@outlook.com,(916) 298-3739,2013-02-25,true,M
370870,Nicholas,Sparks,9201 Thermiac Gulf Way,Sacramento,CA,94248,n.sparks@aol.com,(916) 126-0724,2012-07-15,true,M
371731,Veronica,Bouchart,6229 Blaze Ct,Sacramento,CA,94237,v.bouchart@mail.com,(916) 968-3890,2013-04-09,true,F
373200,Rene,Syler,1551 Holford Way,Sacramento,CA,94268,rene.s@fastmail.com,(916) 566-2029,2013-09-17,false,F
378374,Vic,Grimes,5318 Silver Sea Way,Mather,CA,95655,vicg@zoho.com,(916) 206-7464,2012-08-31,false,M
380003,Amobi,Okugo,7399 Mariposa Ave,Sacramento,CA,95827,aokugo@aol.com,(916) 374-8348,2012-10-21,false,M
383684,Derrick,Lewis,735 Fuchsia Ct,Sacramento,CA,95819,d.lewis@outlook.com,(916) 241-1004,2012-11-14,false,M
384899,Charles,Schwab,4188 Clarity Ct,Sacramento,CA,95887,schwabc@aol.com,(916) 704-4985,2013-09-14,false,M
385115,Pete,Ranzany,3661 Napa Ave,Citrus Heights,CA,95621,ranzanyp@zoho.com,(916) 705-2949,2013-05-01,true,M
386336,Maxine,Perrin,9352 Oterol Ct,Sacramento,CA,94205,m.perrin72@outlook.com,(916) 131-5603,2012-07-14,true,F
386950,Sheri,O'Brian,5649 Proper Ct,Sacramento,CA,94274,o'brians76@hotmail.com,(916) 899-7068,2013-01-26,true,F
390130,Sab,Shimono,2316 Akins Ct,Sacramento,CA,95864,sshimono@hotmail.com,(916) 428-0825,2013-04-01,true,M
393120,Lula,Hsu,9127 Deer Fern Ct,Rancho Cordova,CA,95741,lulah@outlook.com,(916) 618-8114,2013-01-27,true,F
393893,Donald,Butler,7465 Bevil St,Fair Oaks,CA,95628,b_donald@mail.com,(916) 386-4729,2013-09-08,true,M
395125,Rowland,Office,1070 Bandon Way,Sacramento,CA,95825,rowland_o25@gmail.com,(916) 623-2326,2013-08-30,true,M
396166,Nina,Sanders,1750 Villajoy Way,Sacramento,CA,94258,s.nina@icloud.com,(916) 930-2829,2013-06-27,true,F
403000,Teresa,Wilber,5557 Old Kent Ln,Sacramento,CA,94244,teresaw@outlook.com,(916) 253-2759,2013-06-28,true,F
404678,Anna,Kirk,6693 Goldsboro Ct,Folsom,CA,95630,kirk_a@yahoo.com,(916) 658-3520,2012-11-28,true,F
405322,Phil,Tayag,5939 De Rosa Ct,Sacramento,CA,94298,t.phil@zoho.com,(916) 857-7371,2012-08-26,true,M
405671,Toni,Case,1130 Deer Lake Dr,Sacramento,CA,95812,tcase92@mail.com,(916) 460-4193,2013-04-26,true,F
407605,Leland,Glass,2047 Historic Aly,Sacramento,CA,94248,lglass52@mail.com,(916) 511-8900,2013-04-27,false,M
408341,Emily,Fender,4793 Fox Hollow Ln,Sacramento,CA,94291,e_fender5@gmail.com,(916) 320-0106,2012-08-21,false,F
409910,Lester,Holt,8563 Bailey Way,Sacramento,CA,95851,lesterh@hotmail.com,(916) 786-8346,2012-11-22,false,M
412235,Olivia,Fulks,4511 E Socap Walk,Sacramento,CA,94246,fulks.o81@fastmail.com,(916) 192-6985,2013-08-02,true,F
412544,Jay,Hughes,5622 Mathews Way,Sacramento,CA,94280,hughes.j74@mail.com,(916) 826-4425,2013-06-29,true,M
412876,Leila,Olson,6584 Roseville Rd,Sacramento,CA,95865,olson_l@hotmail.com,(916) 273-8647,2013-03-20,true,F
412929,Ashley,Boyd,8949 Colgate Ct,Sacramento,CA,94273,boyd.a@icloud.com,(916) 112-2328,2013-04-03,true,F
413292,Verna,Drayton,9115 Fawnridge Way,Sacramento,CA,95822,v.drayton@icloud.com,(916) 346-0567,2012-07-21,false,F
413495,Jeremy,Powell,3118 Lakewood Rd,Sacramento,CA,94239,powellj@mail.com,(916) 463-3419,2012-07-27,true,M
414509,Amanda,Blake,8755 Castro Way,Sacramento,CA,94269,b_amanda@aol.com,(916) 846-0091,2013-04-25,true,F
415869,Joyce,Fulks,9600 Andrea Blvd,Sacramento,CA,94205,fjoyce@outlook.com,(916) 147-2585,2013-02-08,false,F
416523,Lynne,Metz,9386 Down River Ct,Citrus Heights,CA,95610,l.metz@yahoo.com,(916) 136-4983,2012-10-02,true,F
417823,Joyce,Krieg,8319 Delcliff Cir,Sacramento,CA,94211,kriegj39@yahoo.com,(916) 694-5241,2012-12-25,true,F
418506,Dusty,Baker,4248 Mullein Ct,Rio Linda,CA,95673,bdusty@hotmail.com,(916) 368-8556,2013-02-16,true,M
418521,Holly,Jacobsen,2319 Cannon St,Sacramento,CA,95812,h_jacobsen@outlook.com,(916) 248-7994,2013-04-22,true,F
418635,Scott,Schwartz,9396 Danbrook Dr,Sacramento,CA,94287,sschwartz25@gmail.com,(916) 450-0638,2012-10-17,false,M
420981,Tom,Johnson,5531 Delagua Way,Sacramento,CA,95842,tom.j51@fastmail.com,(916) 149-1396,2013-06-26,true,M
421074,N.T.,McQueen,4900 Monument Dr,Sacramento,CA,94235,n.t._m@zoho.com,(916) 564-9705,2012-11-29,false,M
422592,Pete,Dexter,5731 Princeton St,Sacramento,CA,95816,pete.d@fastmail.com,(916) 426-0047,2012-09-13,false,M
422717,April,Kalvert,3722 Floxtree Ct,Sacramento,CA,95867,kalverta73@mail.com,(916) 917-9060,2012-10-27,false,F
